iter	Logloss
0	0.6666625154
1	0.6388197086
2	0.6080764165
3	0.5807846249
4	0.5550559625
5	0.5302681586
6	0.5082835089
7	0.4903223697
8	0.4735362583
9	0.4535532713
10	0.4334127841
11	0.4199412279
12	0.4060651566
13	0.3906239858
14	0.3784919844
15	0.3629591299
16	0.3521528309
17	0.3400980338
18	0.3272786112
19	0.3181912651
20	0.3071106602
21	0.2971730631
22	0.2887606098
23	0.2815186438
24	0.2749125459
25	0.267423624
26	0.2608454846
27	0.2534783286
28	0.2473166491
29	0.2423282578
30	0.237606731
31	0.2310870858
32	0.2255516714
33	0.2213181925
34	0.2176531862
35	0.2142543659
36	0.2108386393
37	0.2072941951
38	0.2031267491
39	0.1990999621
40	0.1953994839
41	0.1921186182
42	0.1890567275
43	0.1867434913
44	0.1835774839
45	0.1805450757
46	0.1786215647
47	0.17643335
48	0.1746942462
49	0.1721272324
50	0.1699556753
51	0.1675910179
52	0.1650711534
53	0.1634996365
54	0.1615385371
55	0.1601896209
56	0.1585346655
57	0.1570529072
58	0.1552919325
59	0.1534312455
60	0.152209257
61	0.1506583189
62	0.148960101
63	0.1476955374
64	0.1469481163
65	0.1456845905
66	0.1446720644
67	0.1434198301
68	0.1422960325
69	0.1412347894
70	0.1406088725
71	0.1396407299
72	0.1383602938
73	0.1374157125
74	0.1365221567
75	0.1358202372
76	0.1353874404
77	0.1345278366
78	0.1338500979
79	0.1331538124
80	0.1322241428
81	0.1313260073
82	0.1307304391
83	0.1301244566
84	0.1294213799
85	0.1288417656
86	0.1284297338
87	0.1278212667
88	0.1273383143
89	0.1268204465
90	0.1262031166
91	0.1256817396
92	0.1252501545
93	0.1248634788
94	0.1242550779
95	0.1238700618
96	0.1233978195
97	0.1229619773
98	0.1225257362
99	0.1219990215
100	0.1216828849
101	0.1211628006
102	0.1207587824
103	0.1203925002
104	0.1199919137
105	0.1196593637
106	0.1192570432
107	0.1188654081
108	0.118362263
109	0.1180558742
110	0.1177981397
111	0.1175933232
112	0.117201932
113	0.1168041313
114	0.1164816242
115	0.1161093407
116	0.1157452626
117	0.1154097435
118	0.1150413569
119	0.114802146
120	0.1143926511
121	0.1140680757
122	0.113816911
123	0.1135444484
124	0.1132868906
125	0.1130452421
126	0.1126812188
127	0.1123000907
128	0.1121321629
129	0.111877565
130	0.1116202323
131	0.1113547289
132	0.1110752154
133	0.1107825752
134	0.1105576394
135	0.110296486
136	0.1100320356
137	0.1097738496
138	0.1094474667
139	0.1092721663
140	0.1091408208
141	0.1089868433
142	0.1088117049
143	0.1086034024
144	0.1083209964
145	0.1081174366
146	0.1078957477
147	0.1076561979
148	0.107484482
149	0.1073106834
150	0.1070801254
151	0.1069597831
152	0.1068170457
153	0.1066918179
154	0.1064830063
155	0.1062166609
156	0.1059507384
157	0.1057976719
158	0.1056296458
159	0.1053949743
160	0.1052456964
161	0.1049074898
162	0.104692533
163	0.1045152687
164	0.1043673786
165	0.1042157927
166	0.1040380947
167	0.1038756773
168	0.1037712841
169	0.1036038215
170	0.1034246318
171	0.1032574015
172	0.1030393969
173	0.1028722061
174	0.1027511776
175	0.1026181037
176	0.1024780264
177	0.102180983
178	0.1020888013
179	0.1019022475
180	0.1017755257
181	0.1015718802
182	0.101413851
183	0.1012373856
184	0.1011458273
185	0.1009750834
186	0.1007389706
187	0.1006391654
188	0.1005455433
189	0.100422505
190	0.1002861254
191	0.1000985837
192	0.09995890519
193	0.09984012019
194	0.09971770645
195	0.09953938417
196	0.09945921703
197	0.09933220959
198	0.0991803353
199	0.09903822691
200	0.09888836811
201	0.09878233854
202	0.09861122395
203	0.09846247849
204	0.0984443883
205	0.09834951136
206	0.09831404207
207	0.09819929335
208	0.0981008994
209	0.09803504097
210	0.09781648972
211	0.09763744064
212	0.09749413689
213	0.09736256188
214	0.09717539376
215	0.09700457346
216	0.09691375036
217	0.09674747778
218	0.09664546252
219	0.09654966406
220	0.09637201972
221	0.09623061467
222	0.09614612786
223	0.09603130796
224	0.09592707002
225	0.0957952401
226	0.0956840457
227	0.09559636881
228	0.09550216829
229	0.09538516131
230	0.09523394038
231	0.09514507092
232	0.09498472596
233	0.09480716626
234	0.09468653852
235	0.09462049928
236	0.09453163511
237	0.09440141438
238	0.09424423651
239	0.0941388394
240	0.09398632383
241	0.09390817255
242	0.09375063515
243	0.0935884566
244	0.09349792443
245	0.09335161829
246	0.09321146458
247	0.09312024681
248	0.09289785751
249	0.09285500117
250	0.09275249502
251	0.0926215367
252	0.09251055538
253	0.09235357442
254	0.09222058953
255	0.09211012336
256	0.09204956474
257	0.09197261785
258	0.0918155437
259	0.09173548356
260	0.09166407536
261	0.09158884053
262	0.09150624996
263	0.09137595107
264	0.09121833865
265	0.09109549666
266	0.09099346016
267	0.09092008172
268	0.09076007651
269	0.09065527682
270	0.09049183413
271	0.0903451303
272	0.09025000732
273	0.09020768748
274	0.0901093779
275	0.08997442234
276	0.08984686585
277	0.08974853503
278	0.0896890989
279	0.08957263554
280	0.08944852799
281	0.08933841127
282	0.08922547781
283	0.08914203929
284	0.08911931096
285	0.08896877661
286	0.08885082539
287	0.08878059779
288	0.08862631754
289	0.08856276333
290	0.08850100894
291	0.08845519121
292	0.08823919313
293	0.08812287895
294	0.08801685635
295	0.08794484063
296	0.08781176596
297	0.08769081429
298	0.08759138746
299	0.08750935875
300	0.08740807262
301	0.08724960314
302	0.08717706134
303	0.08708061417
304	0.08696841873
305	0.08687512691
306	0.08666592524
307	0.08654691894
308	0.08642106325
309	0.08638790465
310	0.08627051705
311	0.08614102824
312	0.08603433203
313	0.08588935168
314	0.08576089153
315	0.08564898978
316	0.08548363407
317	0.08539291242
318	0.08531443863
319	0.08524184391
320	0.08514929236
321	0.08505240009
322	0.08492248871
323	0.08488971585
324	0.08478595377
325	0.08471214131
326	0.08466535518
327	0.08457491039
328	0.08453220602
329	0.0844307541
330	0.0843466997
331	0.0842665549
332	0.08415290381
333	0.08414276593
334	0.08408334438
335	0.08401243631
336	0.08385750062
337	0.08367680537
338	0.08354401554
339	0.08346090897
340	0.08342756583
341	0.08330005753
342	0.08316956181
343	0.08309851665
344	0.08295223645
345	0.08288811195
346	0.08279640135
347	0.08270493453
348	0.08259166341
349	0.08254475788
350	0.08247677651
351	0.08234278733
352	0.08222478825
353	0.08215878019
354	0.08211350825
355	0.08200905818
356	0.08195052149
357	0.08188485716
358	0.08175196204
359	0.08160592161
360	0.08154750315
361	0.08146166581
362	0.08138024877
363	0.08130673618
364	0.08126519653
365	0.08121719853
366	0.08109692032
367	0.08098104553
368	0.08097505581
369	0.08091272302
370	0.08082710868
371	0.08072599241
372	0.08055690336
373	0.08046070697
374	0.08038754104
375	0.08025687793
376	0.08020198225
377	0.08010656746
378	0.08000276812
379	0.07989015582
380	0.07978006549
381	0.07968468272
382	0.07956841371
383	0.07942911872
384	0.07938349627
385	0.07930913585
386	0.07921622324
387	0.07911504408
388	0.07903872994
389	0.07895460911
390	0.07889980728
391	0.07880987819
392	0.07871760823
393	0.07864022567
394	0.07858453541
395	0.07855145034
396	0.07846902282
397	0.07836067554
398	0.07833041741
399	0.07822236808
400	0.07814336067
401	0.07801336108
402	0.07791803747
403	0.0778486623
404	0.07776780633
405	0.07770386352
406	0.07759472801
407	0.07749047
408	0.07739300301
409	0.0772997983
410	0.07719118508
411	0.07710577738
412	0.07700280501
413	0.0769139234
414	0.07677339158
415	0.07671877393
416	0.07667950177
417	0.07657989298
418	0.07648690746
419	0.07644789111
420	0.07636336391
421	0.07629243294
422	0.07621631686
423	0.0761268889
424	0.07602845282
425	0.07592337458
426	0.07580409883
